country,cal_region2,event_id,impact,rp
KOR,WP4,2004227N15141,1845168.832,3.1666666666666665
LCA,NA1,2007225N12331,47496877.29,38.0
LCA,NA1,2010302N09306,548667.5019,19.0
LKA,NI,2017333N06082,314311010.2,38.0
MAC,WP4,2017232N19130,1560609286.0,38.0
MDG,SI,1984094S10080,907770830.7,38.0
MDG,SI,1981351S12060,742274546.2,19.0
MDG,SI,2004061S12072,611461783.3,12.666666666666666
MDG,SI,1986067S11080,491370641.1,9.5
MDG,SI,2007066S12066,348858871.4,7.6
MDG,SI,1997018S11059,150510277.2,6.333333333333333
MDG,SI,2012039S14075,107598319.7,5.428571428571429
MDG,SI,1983339S10065,75988123.11,4.75
MDG,SI,2008037S10055,68034718.12,4.222222222222222
MDG,SI,1994007S16056,35852773.5,3.8
MDG,SI,2013046S20042,25169373.46,3.4545454545454546
MDG,SI,2000032S11116,24773011.21,3.1666666666666665
MDG,SI,2009093S12062,6241556.912000001,2.7142857142857144
MDG,SI,2001364S19036,439343.7929,2.533333333333333
MEX,NA1,2005289N18282,7490595958.0,38.0
MEX,NA1,1995281N14278,5476225576.0,19.0
MEX,NA1,2010257N16282,4846656451.0,12.666666666666666
MEX,NA1,1995256N15253,2920653641.0,9.5
MEX,NA1,2014253N13260,2500000000.0,7.6
MEX,NA1,2010176N16278,2485464847.0,6.333333333333333
MEX,NA1,1997279N12263,1176350687.0,5.428571428571429
MEX,NA1,2015293N13266,924242990.8,4.75
MEX,NA1,2007225N12331,749255406.1,4.222222222222222
MEX,NA1,2012166N09269,607434088.9,3.8
MEX,NA1,2005192N11318,599247676.6,3.4545454545454546
MEX,NA1,1988253N12306,550112928.0,2.923076923076923
MEX,NA1,1990216N13281,456380159.7,2.7142857142857144
MEX,NA1,2002295N11261,340513691.7,2.533333333333333
MEX,NA1,2012215N12313,328342750.7,2.375
MEX,NA1,2003262N17254,180241122.2,2.235294117647059
MEX,NA1,2008203N18276,88822764.83,2.111111111111111
MEX,NA1,2016248N15255,60984824.31,2.0
MEX,NA1,2009239N12270,58422121.35,1.9
MEX,NA1,2011279N10257,30846033.58,1.8095238095238095
MEX,NA1,1992233N16254,10859450.34,1.7272727272727273
MEX,NA1,2006257N16259,3638886.137,1.6521739130434783
MEX,NA1,2017219N16279,2284434.574,1.5833333333333333
MMR,NI,2008117N11090,8216064485.0,38.0
MMR,NI,2010293N17093,75300204.74,19.0
MMR,NI,2004136N15090,4260951.721,12.666666666666666
MOZ,SI,1996001S08075,69792056.75,38.0
MOZ,SI,2008062S10064,29510844.15,19.0
MOZ,SI,2017043S19040,22801692.01,12.666666666666666
MOZ,SI,2000032S11116,3381086.779,9.5
MSR,NA1,1989254N13340,240000000.0,38.0
MYS,WP1,1996356N08110,174301945.6,38.0
NCL,OC,2003061S21148,40000000.0,38.0
NCL,OC,1981353S09172,551603.3058,19.0
NIC,NA1,1988285N09318,1806289799.0,38.0
OMN,NI,2007151N14072,7513292712.0,38.0
OMN,NI,2010151N14065,1382561646.0,19.0
PHL,WP2,2013306N07162,10468973696.0,38.0
PHL,WP2,1988308N09140,1119695812.0,19.0
PHL,WP2,2012331N03157,1022251732.0,12.666666666666666
PHL,WP2,2009270N10148,989634942.4,9.5
PHL,WP2,1993271N14134,984067975.5,7.6
PHL,WP2,1995293N05177,936840738.5,6.333333333333333
PHL,WP2,1980296N05165,897149786.7,5.428571428571429
PHL,WP2,1984302N00149,875268514.8,4.75
PHL,WP2,2014190N08154,820576000.0,4.222222222222222
PHL,WP2,1991289N06156,563936202.8,3.8
PHL,WP2,1987320N03171,480080890.5,3.4545454545454546
PHL,WP2,2008169N08135,465107740.1,3.1666666666666665
PHL,WP2,2011266N13139,436981179.1,2.923076923076923
PHL,WP2,1989190N20160,407741184.1,2.7142857142857144
PHL,WP2,2009268N14128,401496146.7,2.533333333333333
PHL,WP2,1989279N07151,395709477.0,2.375
PHL,WP2,2010285N13145,393168267.4,2.235294117647059
PHL,WP2,1986276N07177,343006780.4,2.111111111111111
PHL,WP2,1994287N14156,299308082.0,2.0
PHL,WP2,1981319N07163,279423828.6,1.9
PHL,WP2,2006268N12129,263136098.5,1.8095238095238095
PHL,WP2,2001181N08141,255861625.3,1.7272727272727273
PHL,WP2,1989286N14137,236623572.4,1.6521739130434783
PHL,WP2,1981355N07149,207571987.0,1.5833333333333333
PHL,WP2,2015285N14151,205083256.2,1.52
PHL,WP2,1985162N05154,185189963.4,1.4615384615384615
PHL,WP2,1994197N14115,166973054.6,1.4074074074074074
PHL,WP2,2008135N12116,162021661.9,1.3571428571428572
PHL,WP2,2006329N06150,154621565.9,1.3103448275862069
PHL,WP2,2015344N07145,131434664.3,1.2666666666666666
PHL,WP2,1994345N06165,119070439.2,1.2258064516129032
PHL,WP2,2014334N02156,113878000.0,1.1875
PHL,WP2,2000305N06136,108879711.6,1.1515151515151516
PHL,WP2,2013282N14132,101259054.3,1.1176470588235294
PHL,WP2,2016355N07146,96757536.45,1.0857142857142856
