year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
2015,2015-0185-CHN,CHN,Riverine flood,987794.0,2015-0185
2015,2015-0255-CHN,CHN,Riverine flood,796409.0,2015-0255
2015,2015-0247-CHN,CHN,Riverine flood,771714.0,2015-0247
2015,2015-0220-CHN,CHN,Flood (General),617371.0,2015-0220
2015,2015-0395-CHN,CHN,Flood (General),516122.0,2015-0395
2015,2015-0219-CHN,CHN,Flood (General),313624.0,2015-0219
2015,2015-0397-CHN,CHN,Flood (General),271643.0,2015-0397
2015,2015-0240-CHN,CHN,Flood (General),246948.0,2015-0240
2015,2015-0533-CHN,CHN,Riverine flood,160516.0,2015-0533
2016,2016-0241-CHN,CHN,Flood (General),26825889.0,2016-0241
2016,2016-0257-CHN,CHN,Flood (General),5487114.0,2016-0257
2016,2016-0236-CHN,CHN,Flood (General),3658076.0,2016-0236
2016,2016-0238-CHN,CHN,Flood (General),823067.0,2016-0238
2016,2016-0233-CHN,CHN,Flood (General),809654.0,2016-0233
2016,2016-0194-CHN,CHN,Riverine flood,545053.0,2016-0194
2016,2016-0376-CHN,CHN,Flood (General),158517.0,2016-0376
2016,2016-0137-CHN,CHN,Riverine flood,118278.0,2016-0137
2016,2016-0198-CHN,CHN,Flood (General),84136.0,2016-0198
2016,2016-0389-CHN,CHN,Flood (General),25607.0,2016-0389
2016,2016-0038-CHN,CHN,Riverine flood,24387.0,2016-0038
2017,2017-0245-CHN,CHN,Flood (General),7163559.0,2017-0245
2017,2017-0568-CHN,CHN,Flood (General),587412.0,2017-0568
2017,2017-0476-CHN,CHN,Flood (General),512194.0,2017-0476
2017,2017-0398-CHN,CHN,Flood (General),431007.0,2017-0398
2017,2017-0372-CHN,CHN,Flood (General),376087.0,2017-0372
2017,2017-0264-CHN,CHN,Flood (General),173119.0,2017-0264
2017,2017-0254-CHN,CHN,Flood (General),137302.0,2017-0254
2017,2017-0169-CHN,CHN,Riverine flood,127750.0,2017-0169
2017,2017-0187-CHN,CHN,Riverine flood,111035.0,2017-0187
2017,2017-0463-CHN,CHN,Flood (General),89544.0,2017-0463
